Week,Inven,Prev_Inven_1,Prev_Inven_2,Prev_Inven_3,Prev_Inven_4,Prev_Inven_5,Prev_Inven_6,Prev_Inven_7,Prev_Inven_8
201901,163675,-999,-999,-999,-999,-999,-999,-999,-999
201902,280385,163675,-999,-999,-999,-999,-999,-999,-999
201903,274289,280385,163675,-999,-999,-999,-999,-999,-999
201904,221294,274289,280385,163675,-999,-999,-999,-999,-999
201905,137904,221294,274289,280385,163675,-999,-999,-999,-999
201906,129716,137904,221294,274289,280385,163675,-999,-999,-999
201907,130079,129716,137904,221294,274289,280385,163675,-999,-999
201908,101793,130079,129716,137904,221294,274289,280385,163675,-999
201909,94781,101793,130079,129716,137904,221294,274289,280385,163675
201910,261241,94781,101793,130079,129716,137904,221294,274289,280385
201911,310160,261241,94781,101793,130079,129716,137904,221294,274289
201912,286759,310160,261241,94781,101793,130079,129716,137904,221294
201913,197944,286759,310160,261241,94781,101793,130079,129716,137904
201914,185295,197944,286759,310160,261241,94781,101793,130079,129716
201915,248115,185295,197944,286759,310160,261241,94781,101793,130079
201916,290891,248115,185295,197944,286759,310160,261241,94781,101793
201917,359115,290891,248115,185295,197944,286759,310160,261241,94781
201918,336055,359115,290891,248115,185295,197944,286759,310160,261241
201919,221116,336055,359115,290891,248115,185295,197944,286759,310160
201920,285308,221116,336055,359115,290891,248115,185295,197944,286759
201921,220191,285308,221116,336055,359115,290891,248115,185295,197944
201922,219917,220191,285308,221116,336055,359115,290891,248115,185295
201923,291115,219917,220191,285308,221116,336055,359115,290891,248115
201924,347889,291115,219917,220191,285308,221116,336055,359115,290891
201925,310205,347889,291115,219917,220191,285308,221116,336055,359115
201926,166426,310205,347889,291115,219917,220191,285308,221116,336055
201927,206830,166426,310205,347889,291115,219917,220191,285308,221116
201928,247017,206830,166426,310205,347889,291115,219917,220191,285308
201929,247017,247017,206830,166426,310205,347889,291115,219917,220191
201930,325272,247017,247017,206830,166426,310205,347889,291115,219917
201931,282010,325272,247017,247017,206830,166426,310205,347889,291115
201932,282044,282010,325272,247017,247017,206830,166426,310205,347889
201933,195871,282044,282010,325272,247017,247017,206830,166426,310205
201934,222638,195871,282044,282010,325272,247017,247017,206830,166426
201935,401894,222638,195871,282044,282010,325272,247017,247017,206830
201936,595877,401894,222638,195871,282044,282010,325272,247017,247017
201937,586499,595877,401894,222638,195871,282044,282010,325272,247017
201938,532978,586499,595877,401894,222638,195871,282044,282010,325272
201939,453086,532978,586499,595877,401894,222638,195871,282044,282010
201940,295408,453086,532978,586499,595877,401894,222638,195871,282044
201941,268574,295408,453086,532978,586499,595877,401894,222638,195871
201942,329648,268574,295408,453086,532978,586499,595877,401894,222638
201943,457456,329648,268574,295408,453086,532978,586499,595877,401894
201944,628175,457456,329648,268574,295408,453086,532978,586499,595877
201945,583257,628175,457456,329648,268574,295408,453086,532978,586499
201946,503889,583257,628175,457456,329648,268574,295408,453086,532978
201947,514039,503889,583257,628175,457456,329648,268574,295408,453086
201948,402367,514039,503889,583257,628175,457456,329648,268574,295408
201949,453382,402367,514039,503889,583257,628175,457456,329648,268574
201950,548225,453382,402367,514039,503889,583257,628175,457456,329648
201951,660010,548225,453382,402367,514039,503889,583257,628175,457456
201952,704804,660010,548225,453382,402367,514039,503889,583257,628175
202001,629709,704804,660010,548225,453382,402367,514039,503889,583257
202002,649121,629709,704804,660010,548225,453382,402367,514039,503889
202003,595718,649121,629709,704804,660010,548225,453382,402367,514039
202004,561899,595718,649121,629709,704804,660010,548225,453382,402367
202005,592359,561899,595718,649121,629709,704804,660010,548225,453382
202006,626276,592359,561899,595718,649121,629709,704804,660010,548225
202007,537030,626276,592359,561899,595718,649121,629709,704804,660010
202008,433067,537030,626276,592359,561899,595718,649121,629709,704804
202009,232891,433067,537030,626276,592359,561899,595718,649121,629709
202010,390616,232891,433067,537030,626276,592359,561899,595718,649121
202011,521018,390616,232891,433067,537030,626276,592359,561899,595718
202012,593509,521018,390616,232891,433067,537030,626276,592359,561899
202013,693780,593509,521018,390616,232891,433067,537030,626276,592359
202014,875869,693780,593509,521018,390616,232891,433067,537030,626276
202015,828364,875869,693780,593509,521018,390616,232891,433067,537030
202016,841502,828364,875869,693780,593509,521018,390616,232891,433067
202017,850568,841502,828364,875869,693780,593509,521018,390616,232891
202018,679967,850568,841502,828364,875869,693780,593509,521018,390616
202019,531332,679967,850568,841502,828364,875869,693780,593509,521018
202020,461138,531332,679967,850568,841502,828364,875869,693780,593509
202021,436128,461138,531332,679967,850568,841502,828364,875869,693780
202022,355171,436128,461138,531332,679967,850568,841502,828364,875869
202023,569349,355171,436128,461138,531332,679967,850568,841502,828364
202024,600039,569349,355171,436128,461138,531332,679967,850568,841502
202025,670966,600039,569349,355171,436128,461138,531332,679967,850568
202026,769202,670966,600039,569349,355171,436128,461138,531332,679967
202027,846436,769202,670966,600039,569349,355171,436128,461138,531332
202028,945581,846436,769202,670966,600039,569349,355171,436128,461138
202029,1088992,945581,846436,769202,670966,600039,569349,355171,436128
202030,1008402,1088992,945581,846436,769202,670966,600039,569349,355171
202031,840283,1008402,1088992,945581,846436,769202,670966,600039,569349
202032,702949,840283,1008402,1088992,945581,846436,769202,670966,600039
202033,776196,702949,840283,1008402,1088992,945581,846436,769202,670966
202034,843641,776196,702949,840283,1008402,1088992,945581,846436,769202
202035,969377,843641,776196,702949,840283,1008402,1088992,945581,846436
202036,921796,969377,843641,776196,702949,840283,1008402,1088992,945581
202037,815885,921796,969377,843641,776196,702949,840283,1008402,1088992
202038,799789,815885,921796,969377,843641,776196,702949,840283,1008402
202039,783857,799789,815885,921796,969377,843641,776196,702949,840283
202040,599409,783857,799789,815885,921796,969377,843641,776196,702949
202041,475433,599409,783857,799789,815885,921796,969377,843641,776196
202042,646295,475433,599409,783857,799789,815885,921796,969377,843641
202043,779657,646295,475433,599409,783857,799789,815885,921796,969377
202044,688083,779657,646295,475433,599409,783857,799789,815885,921796
202045,646901,688083,779657,646295,475433,599409,783857,799789,815885
202046,678227,646901,688083,779657,646295,475433,599409,783857,799789
202047,827122,678227,646901,688083,779657,646295,475433,599409,783857
202048,789573,827122,678227,646901,688083,779657,646295,475433,599409
202049,642683,789573,827122,678227,646901,688083,779657,646295,475433
202050,553609,642683,789573,827122,678227,646901,688083,779657,646295
202051,429176,553609,642683,789573,827122,678227,646901,688083,779657
202052,430909,429176,553609,642683,789573,827122,678227,646901,688083
202053,422602,430909,429176,553609,642683,789573,827122,678227,646901
202101,515639,422602,430909,429176,553609,642683,789573,827122,678227
202102,543389,515639,422602,430909,429176,553609,642683,789573,827122
202103,736056,543389,515639,422602,430909,429176,553609,642683,789573
202104,819596,736056,543389,515639,422602,430909,429176,553609,642683
202105,948104,819596,736056,543389,515639,422602,430909,429176,553609
202106,1040573,948104,819596,736056,543389,515639,422602,430909,429176
202107,1174008,1040573,948104,819596,736056,543389,515639,422602,430909
202108,1137451,1174008,1040573,948104,819596,736056,543389,515639,422602
202109,1154057,1137451,1174008,1040573,948104,819596,736056,543389,515639
202110,1230948,1154057,1137451,1174008,1040573,948104,819596,736056,543389
202111,1246419,1230948,1154057,1137451,1174008,1040573,948104,819596,736056
202112,1111362,1246419,1230948,1154057,1137451,1174008,1040573,948104,819596
202113,1160150,1111362,1246419,1230948,1154057,1137451,1174008,1040573,948104
202114,1193339,1160150,1111362,1246419,1230948,1154057,1137451,1174008,1040573
202115,1002560,1193339,1160150,1111362,1246419,1230948,1154057,1137451,1174008
202116,853427,1002560,1193339,1160150,1111362,1246419,1230948,1154057,1137451
202117,692545,853427,1002560,1193339,1160150,1111362,1246419,1230948,1154057
202118,525471,692545,853427,1002560,1193339,1160150,1111362,1246419,1230948
202119,558155,525471,692545,853427,1002560,1193339,1160150,1111362,1246419
202120,703941,558155,525471,692545,853427,1002560,1193339,1160150,1111362
202121,798726,703941,558155,525471,692545,853427,1002560,1193339,1160150
202122,616334,798726,703941,558155,525471,692545,853427,1002560,1193339
202123,559708,616334,798726,703941,558155,525471,692545,853427,1002560
202124,620417,559708,616334,798726,703941,558155,525471,692545,853427
202125,641708,620417,559708,616334,798726,703941,558155,525471,692545
